fita,status,ult movimentação
FTD046L5,ARMAZENADO,01/03/2022
SJP037L7,ARMAZENADO,
VV0063L5,EM CLIENTE,16/04/2019
VV0034L5,EM CLIENTE,16/04/2019
FYB479L5,ARMAZENADO,03/05/2022
BDB847L6,ARMAZENADO,31/08/2021
DII042L5,ARMAZENADO,03/05/2022
CRZ005L5,EM CLIENTE,12/11/2019
FFC197L5,ARMAZENADO,14/06/2022
BDB907L6,ARMAZENADO,04/01/2022
FTG940L5,ARMAZENADO,01/03/2022
FCD579L5,ARMAZENADO,23/11/2021
FTG955L5,ARMAZENADO,26/04/2022
CHC163L6,ARMAZENADO,
BDB603L6,ARMAZENADO,01/03/2022
FYB466L5,ARMAZENADO,24/05/2022
CZX802L5,EM CLIENTE,25/01/2022
FTG734L5,EM CLIENTE,01/06/2021
FTH548L5,EM CLIENTE,16/08/2022
BDB795L6,ARMAZENADO,01/02/2022
SAP003L8,EM CLIENTE,19/07/2022
CZZ013L5,EM CLIENTE,18/06/2019
FTH537L5,ARMAZENADO,
BLK081L5,ARMAZENADO,21/05/2019
DIH876L5,EM CLIENTE,17/12/2019
JAC047L5,ARMAZENADO,
PTA060L5,ARMAZENADO,13/10/2020
BDB506L6,ARMAZENADO,06/07/2021
FCD024L5,EM CLIENTE,31/05/2022
FTD293L5,ARMAZENADO,28/09/2021
FTG565L5,ARMAZENADO,14/04/2020
VV0133L5,EM CLIENTE,25/01/2022
VV0199L5,ARMAZENADO,
FCF081L5,EM CLIENTE,13/09/2022
CIO204L6,ARMAZENADO,
FTC593L5,ARMAZENADO,28/09/2021
FTE793L5,ARMAZENADO,17/10/2019
FCD375L5,ARMAZENADO,
FTC987L5,ARMAZENADO,20/07/2021
CZX803L5,EM CLIENTE,25/01/2022
CZZ039L5,ARMAZENADO,12/04/2022
CFL169L6,ARMAZENADO,03/12/2019
BDB620L6,ARMAZENADO,26/04/2022
BDB670L6,ARMAZENADO,20/07/2021
FCF093L5,ARMAZENADO,17/12/2019
FTC720L5,EM CLIENTE,16/04/2019
GM1262L5,ARMAZENADO,
BDB571L6,ARMAZENADO,05/11/2019
BDB490L6,ARMAZENADO,01/03/2022
FFC057L5,ARMAZENADO,17/05/2022
UHU037L5,EM CLIENTE,13/12/2022
DIH967L5,ARMAZENADO,14/06/2022
FCC983L5,ARMAZENADO,01/03/2022
FTD025L5,EM CLIENTE,14/06/2022
FTH506L5,ARMAZENADO,16/06/2020
DIH073L5,ARMAZENADO,21/04/2021
DIH101L5,ARMAZENADO,18/03/2021
FTG676L5,ARMAZENADO,13/09/2022
