fita,status,ult movimentação
CZX791L5,EM CLIENTE,11/08/2020
BDB481L6,ARMAZENADO,22/10/2019
FTH073L5,ARMAZENADO,20/07/2021
VV0036L5,EM CLIENTE,16/04/2019
CZY970L5,ARMAZENADO,13/10/2022
BDB801L6,ARMAZENADO,
FFC050L5,ARMAZENADO,08/03/2022
BBM749L5,ARMAZENADO,30/11/2021
CQZ585L5,ARMAZENADO,14/04/2020
FCD386L5,ARMAZENADO,17/12/2019
BDB774L6,ARMAZENADO,19/04/2022
FTE842L5,ARMAZENADO,17/12/2019
FTD314L5,ARMAZENADO,31/08/2021
FTG879L5,EM CLIENTE,25/01/2022
FCC966L5,ARMAZENADO,29/07/2020
CZY976L5,EM CLIENTE,14/07/2020
FTG602L5,ARMAZENADO,15/06/2021
VV0112L5,ARMAZENADO,
CGB398L6,EM CLIENTE,14/06/2022
FTD004L5,ARMAZENADO,28/09/2021
BUR956L6,EM CLIENTE,19/01/2021
BDB922L6,ARMAZENADO,12/04/2022
FCF021L5,ARMAZENADO,17/05/2022
CPW133L4,ARMAZENADO,17/11/2022
CBG045L6,EM CLIENTE,11/06/2019
FTG730L5,ARMAZENADO,28/07/2020
FTG922L5,ARMAZENADO,17/11/2020
FCD171L5,EM CLIENTE,10/06/2022
FTC984L5,ARMAZENADO,20/07/2021
BDB684L6,ARMAZENADO,03/05/2022
BDB584L6,ARMAZENADO,01/02/2022
PLI611L4,ARMAZENADO,
FFC012L5,ARMAZENADO,26/04/2022
CZZ030L5,EM CLIENTE,25/10/2022
BDB525L6,ARMAZENADO,30/11/2021
FCD771L5,ARMAZENADO,16/04/2019
FCE995L5,ARMAZENADO,01/02/2022
FTG603L5,ARMAZENADO,15/06/2021
DIH049L5,EM CLIENTE,15/09/2020
BDB439L6,ARMAZENADO,17/05/2022
FTG570L5,ARMAZENADO,16/04/2019
FXZ460L5,ARMAZENADO,
FTD040L5,ARMAZENADO,01/03/2022
FTC709L5,ARMAZENADO,17/10/2019
CPW105L4,EM CLIENTE,18/10/2022
VV0062L5,ARMAZENADO,16/04/2019
CIO248L6,ARMAZENADO,24/12/2019
CZX559L5,ARMAZENADO,16/04/2019
BDB797L6,ARMAZENADO,01/03/2022
FTD396L5,ARMAZENADO,20/07/2021
BLK129L5,ARMAZENADO,16/08/2022
FCE863L5,EM CLIENTE,25/08/2020
FTD164L5,ARMAZENADO,
CZX768L5,ARMAZENADO,25/08/2020
FTH066L5,ARMAZENADO,20/07/2021
DIH886L5,EM CLIENTE,12/11/2019
DIH889L5,EM CLIENTE,14/01/2020
FCD780L5,ARMAZENADO,16/04/2019
BDB845L6,ARMAZENADO,31/08/2021
FCD382L5,ARMAZENADO,20/08/2019
CZX579L5,ARMAZENADO,16/04/2019
FTC707L5,EM CLIENTE,16/07/2019
DII038L5,ARMAZENADO,29/03/2022
FTG932L5,ARMAZENADO,26/04/2022
DIH308L5,EM CLIENTE,17/10/2019
DOL877L5,ARMAZENADO,17/09/2019
CBG056L6,EM CLIENTE,17/03/2020
BUR957L6,EM CLIENTE,19/01/2021
CIO179L6,ARMAZENADO,23/04/2019
DIH094L5,ARMAZENADO,25/05/2021
APD948LU,ARMAZENADO,
FTC700L5,ARMAZENADO,
FTC808L5,ARMAZENADO,13/07/2021
CZY748L5,EM CLIENTE,17/01/2023
FCD583L5,EM CLIENTE,29/03/2022
FTH276L5,ARMAZENADO,31/08/2021
DIH240L5,EM CLIENTE,13/12/2022
BDB736L6,ARMAZENADO,05/04/2022
FFB996L5,ARMAZENADO,03/05/2022
FTD005L5,ARMAZENADO,28/09/2021
FCD671L5,ARMAZENADO,08/07/2019
CIO163L6,ARMAZENADO,
FIC032L5,EM CLIENTE,27/10/2020
SPN078L5,ARMAZENADO,16/04/2019
FXZ471L5,ARMAZENADO,28/12/2021
SPN075L5,ARMAZENADO,16/04/2019
CFK968L6,ARMAZENADO,17/12/2019
FIC056L5,ARMAZENADO,03/05/2022
FFC011L5,ARMAZENADO,22/03/2022
FFC198L5,EM CLIENTE,14/06/2022
FFC004L5,ARMAZENADO,22/03/2022
FTC652L5,ARMAZENADO,10/06/2022
FFB994L5,ARMAZENADO,15/03/2022
BBM728L5,ARMAZENADO,04/01/2022
DIH090L5,EM CLIENTE,01/06/2021
FCD643L5,ARMAZENADO,04/01/2022
SPN050L5,ARMAZENADO,05/06/2019
FCD618L5,ARMAZENADO,22/03/2022
GFK783L5,ARMAZENADO,22/03/2022
FCE962L5,ARMAZENADO,23/07/2019
BDB507L6,ARMAZENADO,20/07/2021
PTA038L5,ARMAZENADO,20/08/2019
FTD364L5,ARMAZENADO,
BDB696L6,ARMAZENADO,24/05/2022
FTG679L5,ARMAZENADO,13/09/2022
GAC388L5,ARMAZENADO,17/11/2022
BDB674L6,ARMAZENADO,20/07/2021
SPN046L5,ARMAZENADO,04/06/2019
FCC980L5,ARMAZENADO,24/12/2019
FTH300L5,EM CLIENTE,25/01/2022
DIH239L5,EM CLIENTE,13/12/2022
SPN051L5,ARMAZENADO,18/06/2019
DIG957L5,EM CLIENTE,01/06/2021
VV0009L5,ARMAZENADO,16/07/2019
CZX814L5,ARMAZENADO,17/11/2022
FTH317L5,EM CLIENTE,23/02/2021
FFC221L5,ARMAZENADO,21/04/2021
VV0007L5,ARMAZENADO,16/07/2019
CZX789L5,EM CLIENTE,11/08/2020
VV0034L5,EM CLIENTE,17/12/2019
CQZ608L5,ARMAZENADO,
GFK824L5,ARMAZENADO,31/05/2022
FIB988L5,EM CLIENTE,01/02/2022
FCC969L5,ARMAZENADO,26/04/2022
FCD387L5,ARMAZENADO,16/04/2019
DII064L5,ARMAZENADO,
VV0008L5,ARMAZENADO,16/07/2019
FCF086L5,ARMAZENADO,
DIH128L5,EM CLIENTE,11/08/2020
FCF031L5,ARMAZENADO,17/05/2022
FXZ766L5,ARMAZENADO,
DIH309L5,EM CLIENTE,17/10/2019
CHC202L6,ARMAZENADO,
CQZ609L5,ARMAZENADO,
CZZ004L5,ARMAZENADO,12/07/2022
BDB457L6,ARMAZENADO,24/12/2019
CPW132L4,ARMAZENADO,15/02/2022
SAP145L8,EM CLIENTE,19/07/2022
PLI646L4,ARMAZENADO,
CPW176L4,EM CLIENTE,14/12/2021
FCD678L5,ARMAZENADO,
UHU004L5,EM CLIENTE,15/03/2022
FTH127L5,ARMAZENADO,30/11/2021
FFC244L5,EM CLIENTE,14/06/2022
FCD228L5,ARMAZENADO,10/06/2022
FTC780L5,ARMAZENADO,08/12/2021
DIH877L5,EM CLIENTE,11/02/2020
BDB924L6,ARMAZENADO,12/04/2022
BDB520L6,ARMAZENADO,01/11/2021
FTG644L5,ARMAZENADO,16/08/2022
000042L6,ARMAZENADO,05/04/2022
FCE914L5,EM CLIENTE,25/01/2022
DIH255L5,ARMAZENADO,21/06/2022
VV0168L5,ARMAZENADO,17/11/2022
FTD173L5,ARMAZENADO,11/02/2020
CIO252L6,ARMAZENADO,21/11/2019
CIO218L6,ARMAZENADO,
FTG674L5,ARMAZENADO,13/09/2022
DII039L5,ARMAZENADO,03/05/2022
FTH534L5,ARMAZENADO,
VV0056L5,EM CLIENTE,25/01/2022
CZY686L5,EM CLIENTE,25/01/2022
BDB588L6,ARMAZENADO,01/03/2022
DIH880L5,EM CLIENTE,11/02/2020
DIH092L5,EM CLIENTE,13/12/2022
DIH113L5,ARMAZENADO,01/06/2021
FFC164L5,ARMAZENADO,03/05/2022
FTE964L5,EM CLIENTE,28/12/2021
FCD013L5,ARMAZENADO,25/05/2021
000050L6,ARMAZENADO,03/05/2022
FCD208L5,ARMAZENADO,12/04/2022
CFL187L6,ARMAZENADO,03/12/2019
FTE962L5,ARMAZENADO,14/06/2022
FTG717L5,ARMAZENADO,
CQZ591L5,ARMAZENADO,18/03/2021
VV0093L5,ARMAZENADO,17/11/2022
FCD392L5,ARMAZENADO,14/04/2020
FTC972L5,EM CLIENTE,10/06/2022
FTC693L5,ARMAZENADO,10/05/2022
BDB642L6,ARMAZENADO,31/05/2022
FTG942L5,ARMAZENADO,01/03/2022
FTD319L5,ARMAZENADO,01/11/2021
FTD397L5,EM CLIENTE,10/06/2022
FTG758L5,ARMAZENADO,24/03/2020
FCD374L5,ARMAZENADO,14/01/2020
SAP061L8,EM CLIENTE,19/07/2022
FTH469L5,ARMAZENADO,
DIH119L5,EM CLIENTE,14/04/2020
FTF019L5,ARMAZENADO,01/03/2022
BDB590L6,EM CLIENTE,21/02/2019
BDB497L6,ARMAZENADO,26/04/2022
DIH227L5,EM CLIENTE,13/12/2022
DIH052L5,EM CLIENTE,01/06/2021
GM1260L5,ARMAZENADO,
FXZ466L5,ARMAZENADO,
DII051L5,ARMAZENADO,17/05/2022
CRZ036L5,ARMAZENADO,16/04/2019
SJP034L7,ARMAZENADO,
BDB654L6,ARMAZENADO,06/07/2021
FCD029L5,EM CLIENTE,10/05/2022
FTC992L5,ARMAZENADO,20/07/2021
BDB666L6,ARMAZENADO,20/07/2021
DIH176L5,EM CLIENTE,31/08/2020
GFK780L5,ARMAZENADO,22/03/2022
BDB692L6,ARMAZENADO,03/05/2022
CPW178L4,EM CLIENTE,14/12/2021
SP0001L5,EM CLIENTE,11/09/2019
FTH133L5,ARMAZENADO,01/11/2021
CFL172L6,ARMAZENADO,12/11/2019
FIC000L5,ARMAZENADO,25/05/2021
GAC380L5,EM CLIENTE,15/12/2020
CZX776L5,EM CLIENTE,15/02/2022
CFK958L6,ARMAZENADO,22/10/2019
FCD594L5,ARMAZENADO,01/11/2021
BRCRZ027L3,ARMAZENADO,
FTH364L5,ARMAZENADO,31/08/2021
FTH126L5,ARMAZENADO,30/11/2021
DII108L5,EM CLIENTE,16/08/2022
BDB459L6,ARMAZENADO,27/12/2019
FCD560L5,ARMAZENADO,14/06/2022
BDB504L6,ARMAZENADO,06/07/2021
BDB909L6,ARMAZENADO,04/01/2022
FTC979L5,EM CLIENTE,10/06/2022
BDB615L6,ARMAZENADO,22/03/2022
FTD296L5,ARMAZENADO,28/09/2021
BDB524L6,ARMAZENADO,30/11/2021
CZY924L5,ARMAZENADO,17/11/2022
FXZ465L5,ARMAZENADO,
FIB972L5,ARMAZENADO,28/09/2021
VV0124L5,ARMAZENADO,17/09/2019
CZY680L5,ARMAZENADO,16/08/2022
FCE880L5,EM CLIENTE,16/07/2019
FTD166L5,ARMAZENADO,
FTC798L5,EM CLIENTE,13/09/2022
CZY922L5,ARMAZENADO,16/04/2019
FTD002L5,ARMAZENADO,28/09/2021
FIC023L5,ARMAZENADO,01/03/2022
BDB467L6,ARMAZENADO,07/01/2020
CZY705L5,EM CLIENTE,17/01/2023
SJP030L7,ARMAZENADO,
VV0059L5,EM CLIENTE,16/04/2019
FFC188L5,ARMAZENADO,28/09/2021
BDB545L6,ARMAZENADO,
FCD036L5,ARMAZENADO,10/05/2022
VV0002L5,ARMAZENADO,
FTC711L5,EM CLIENTE,17/09/2019
BDB788L6,ARMAZENADO,24/05/2022
FCD042L5,ARMAZENADO,14/06/2022
FTD030L5,ARMAZENADO,28/09/2021
BDB631L6,ARMAZENADO,26/04/2022
BDB496L6,ARMAZENADO,31/05/2022
FFC035L5,ARMAZENADO,01/02/2022
BDB868L6,ARMAZENADO,01/11/2021
FCD231L5,ARMAZENADO,23/05/2022
BDB731L6,ARMAZENADO,05/04/2022
BDB865L6,ARMAZENADO,01/11/2021
DIH124L5,EM CLIENTE,11/08/2020
BDB743L6,ARMAZENADO,05/04/2022
FCC990L5,ARMAZENADO,24/12/2019
BDB834L6,ARMAZENADO,31/08/2021
CPW136L4,ARMAZENADO,
FCD674L5,ARMAZENADO,12/11/2019
CPW148L4,ARMAZENADO,17/11/2022
DII059L5,ARMAZENADO,13/09/2022
FFC021L5,ARMAZENADO,26/04/2022
FCD635L5,ARMAZENADO,30/11/2021
FTE782L5,ARMAZENADO,
FTG733L5,ARMAZENADO,28/07/2020
CZX782L5,EM CLIENTE,15/02/2022
FTH264L5,ARMAZENADO,20/07/2021
VV0143L5,EM CLIENTE,17/01/2023
BDB513L6,ARMAZENADO,31/08/2021
FFC046L5,ARMAZENADO,08/09/2020
CZX784L5,ARMAZENADO,05/05/2020
FCC978L5,ARMAZENADO,29/03/2022
FCB400L5,ARMAZENADO,11/02/2020
SAP005L8,EM CLIENTE,19/07/2022
FIC041L5,ARMAZENADO,07/12/2021
BLK076L5,ARMAZENADO,18/06/2019
FIC030L5,ARMAZENADO,16/04/2019
CGB405L6,EM CLIENTE,25/01/2022
AJF800L8,EM CLIENTE,16/08/2022
FCD217L5,EM CLIENTE,10/06/2022
VV0073L5,ARMAZENADO,16/07/2019
FTC631L5,ARMAZENADO,01/11/2021
FTC994L5,ARMAZENADO,20/07/2021
FXZ771L5,ARMAZENADO,
DIH062L5,ARMAZENADO,
BDB783L6,ARMAZENADO,04/01/2022
DIH072L5,ARMAZENADO,21/04/2021
GFK789L5,ARMAZENADO,22/03/2022
CPW183L4,ARMAZENADO,17/12/2019
FTC673L5,ARMAZENADO,24/05/2022
FCD215L5,EM CLIENTE,10/11/2020
SPN012L5,ARMAZENADO,07/05/2019
BLK107L5,ARMAZENADO,05/11/2019
BDB732L6,ARMAZENADO,05/04/2022
SP0032L5,ARMAZENADO,16/04/2019
BDB449L6,ARMAZENADO,24/05/2022
FTH371L5,ARMAZENADO,31/08/2021
CZY689L5,ARMAZENADO,16/08/2022
FIB973L5,ARMAZENADO,31/08/2021
DII040L5,ARMAZENADO,03/05/2022
FCD760L5,EM CLIENTE,18/06/2019
FTG574L5,ARMAZENADO,14/01/2020
BRCRZ030L3,ARMAZENADO,
CZY702L5,ARMAZENADO,17/11/2022
FTD290L5,ARMAZENADO,28/09/2021
FTD328L5,ARMAZENADO,01/11/2021
CIO220L6,ARMAZENADO,
DII079L5,ARMAZENADO,
BDB770L6,ARMAZENADO,19/04/2022
DIH250L5,EM CLIENTE,06/12/2022
DII070L5,ARMAZENADO,
FFB974L5,ARMAZENADO,06/07/2021
FTC685L5,ARMAZENADO,19/04/2022
BDB744L6,ARMAZENADO,17/05/2022
FFC210L5,EM CLIENTE,29/03/2022
SAA214L5,ARMAZENADO,19/04/2022
BBM799L5,ARMAZENADO,01/03/2022
BBM762L5,ARMAZENADO,26/04/2022
FTG756L5,ARMAZENADO,16/07/2019
PTA024L5,EM CLIENTE,18/06/2019
DIH959L5,ARMAZENADO,22/10/2019
BBM784L5,ARMAZENADO,
FCD562L5,ARMAZENADO,14/06/2022
DIH280L5,ARMAZENADO,22/09/2020
VV0113L5,ARMAZENADO,
CBG047L6,EM CLIENTE,11/06/2019
CPW151L4,EM CLIENTE,05/04/2022
FTG609L5,EM CLIENTE,17/11/2022
BLK074L5,ARMAZENADO,30/04/2019
FFC018L5,ARMAZENADO,26/04/2022
BLK087L5,ARMAZENADO,14/05/2019
BDB826L6,ARMAZENADO,31/08/2021
BDB559L6,ARMAZENADO,26/03/2019
FFC232L5,ARMAZENADO,21/04/2021
VV0049L5,ARMAZENADO,16/04/2019
FCC960L5,ARMAZENADO,03/05/2022
SAP034L8,EM CLIENTE,19/07/2022
CZY891L5,ARMAZENADO,14/12/2021
BDB619L6,ARMAZENADO,22/03/2022
FTG914L5,ARMAZENADO,17/11/2020
GFK761L5,ARMAZENADO,
CPW162L4,EM CLIENTE,13/09/2022
FCE883L5,EM CLIENTE,16/07/2019
DIH213L5,EM CLIENTE,25/08/2020
FCC997L5,EM CLIENTE,01/03/2022
DII019L5,ARMAZENADO,17/11/2020
VV0061L5,ARMAZENADO,16/04/2019
FTG907L5,ARMAZENADO,21/11/2019
FCC992L5,ARMAZENADO,04/01/2022
FTD400L5,EM CLIENTE,10/06/2022
FFB985L5,ARMAZENADO,15/03/2022
BDB501L6,ARMAZENADO,31/05/2022
BDB713L6,EM CLIENTE,10/06/2022
FTC961L5,EM CLIENTE,01/06/2021
FTG947L5,ARMAZENADO,01/11/2021
UHU045L5,ARMAZENADO,23/07/2019
CZY978L5,EM CLIENTE,17/11/2022
CIO214L6,ARMAZENADO,23/07/2019
BDB583L6,ARMAZENADO,01/02/2022
CZY958L5,EM CLIENTE,15/06/2021
FTE820L5,ARMAZENADO,12/11/2019
DII002L5,EM CLIENTE,30/11/2021
FCD054L5,ARMAZENADO,03/05/2022
CQZ612L5,ARMAZENADO,
DIH218L5,EM CLIENTE,31/08/2020
FCD057L5,ARMAZENADO,03/05/2022
UHU022L5,ARMAZENADO,
FTH098L5,ARMAZENADO,24/12/2019
FTC706L5,EM CLIENTE,16/07/2019
BLK090L5,ARMAZENADO,14/05/2019
CHC205L6,ARMAZENADO,
FTH547L5,ARMAZENADO,
FTG621L5,ARMAZENADO,
FCF104L5,ARMAZENADO,23/07/2019
FTC773L5,EM CLIENTE,08/03/2022
FTD366L5,ARMAZENADO,
AJE740L8,EM CLIENTE,19/07/2022
SPN055L5,ARMAZENADO,23/04/2019
FTG573L5,EM CLIENTE,15/09/2020
FTH265L5,ARMAZENADO,20/07/2021
FIC028L5,ARMAZENADO,04/01/2022
DIH157L5,EM CLIENTE,03/05/2022
SP0017L5,ARMAZENADO,22/09/2020
DIH127L5,EM CLIENTE,11/08/2020
BDB625L6,ARMAZENADO,26/04/2022
GM1221L5,ARMAZENADO,
FTD342L5,ARMAZENADO,17/05/2022
BUR942L6,EM CLIENTE,17/09/2019
FTG950L5,ARMAZENADO,24/12/2019
FXZ461L5,ARMAZENADO,16/08/2022
DIH106L5,EM CLIENTE,14/06/2022
CZZ027L5,ARMAZENADO,16/04/2019
CHC182L6,ARMAZENADO,27/12/2019
FCD026L5,ARMAZENADO,10/05/2022
FTD424L5,ARMAZENADO,17/11/2020
FTG933L5,ARMAZENADO,26/04/2022
CZX795L5,EM CLIENTE,25/01/2022
FCD684L5,ARMAZENADO,
DIH107L5,EM CLIENTE,25/08/2020
FTD034L5,ARMAZENADO,26/04/2022
FIB991L5,ARMAZENADO,01/02/2022
BDB522L6,ARMAZENADO,01/11/2021
FTE825L5,ARMAZENADO,26/03/2019
GAC411L5,EM CLIENTE,18/06/2019
VV0053L5,ARMAZENADO,16/04/2019
BBM770L5,ARMAZENADO,26/04/2022
FTH496L5,EM CLIENTE,16/08/2022
VV0173L5,EM CLIENTE,16/04/2019
FTH071L5,ARMAZENADO,20/07/2021
FTD169L5,ARMAZENADO,
BLK143L5,ARMAZENADO,17/12/2019
VV0051L5,ARMAZENADO,16/04/2019
CQZ572L5,ARMAZENADO,25/08/2020
DIH233L5,ARMAZENADO,15/03/2022
FTC797L5,ARMAZENADO,
DII062L5,EM CLIENTE,16/08/2022
FCC986L5,ARMAZENADO,
FCE993L5,ARMAZENADO,01/02/2022
FCD663L5,ARMAZENADO,16/04/2019
PLI634L4,ARMAZENADO,
FCF008L5,ARMAZENADO,20/07/2021
FTH473L5,ARMAZENADO,
BLK106L5,ARMAZENADO,05/11/2019
FIC004L5,ARMAZENADO,01/02/2022
CIO187L6,ARMAZENADO,26/10/2021
FCD654L5,ARMAZENADO,14/06/2022
BDB534L6,ARMAZENADO,21/05/2019
FCD655L5,ARMAZENADO,16/01/2020
FTD295L5,ARMAZENADO,28/09/2021
FTC591L5,ARMAZENADO,28/09/2021
GOI012L7,EM CLIENTE,13/07/2021
BDB889L6,ARMAZENADO,30/11/2021
CQZ556L5,ARMAZENADO,11/03/2020
BDB729L6,ARMAZENADO,05/04/2022
DII380L5,EM CLIENTE,25/01/2022
CQZ586L5,ARMAZENADO,16/02/2021
DIH964L5,EM CLIENTE,17/01/2023
FTC655L5,ARMAZENADO,10/06/2022
FCD000L5,ARMAZENADO,01/02/2022
FTD051L5,ARMAZENADO,17/05/2022
SP0021L5,ARMAZENADO,25/01/2022
FCC976L5,ARMAZENADO,29/03/2022
FTH134L5,ARMAZENADO,01/11/2021
FTH538L5,ARMAZENADO,24/12/2019
CFL167L6,ARMAZENADO,03/12/2019
BDB472L6,ARMAZENADO,17/12/2019
FFB992L5,ARMAZENADO,15/03/2022
BDB447L6,ARMAZENADO,03/05/2022
BDB899L6,ARMAZENADO,04/01/2022
BDB908L6,ARMAZENADO,04/01/2022
CFK967L6,ARMAZENADO,27/10/2020
GFK827L5,ARMAZENADO,31/05/2022
CIO165L6,ARMAZENADO,
DII031L5,ARMAZENADO,21/04/2021
FFC180L5,ARMAZENADO,28/09/2021
FTH514L5,ARMAZENADO,
FTH481L5,ARMAZENADO,21/11/2019
BDB601L6,ARMAZENADO,01/03/2022
DII377L5,EM CLIENTE,15/03/2022
DIH022L5,ARMAZENADO,17/11/2022
000047L6,ARMAZENADO,19/04/2022
FTD018L5,EM CLIENTE,14/06/2022
FCE911L5,EM CLIENTE,21/04/2021
VV0122L5,EM CLIENTE,06/07/2021
FTC676L5,ARMAZENADO,24/05/2022
DIH662L5,EM CLIENTE,31/08/2020
FTG883L5,EM CLIENTE,14/12/2021
FTH540L5,EM CLIENTE,13/09/2022
BDB572L6,ARMAZENADO,01/02/2022
FCD481L5,EM CLIENTE,13/09/2022
DIH289L5,EM CLIENTE,17/09/2019
DIH122L5,EM CLIENTE,01/06/2021
BDB778L6,ARMAZENADO,05/04/2022
FTG707L5,ARMAZENADO,22/10/2019
FCD012L5,ARMAZENADO,25/05/2021
FTH311L5,EM CLIENTE,11/08/2020
FCF018L5,ARMAZENADO,17/05/2022
FTD056L5,ARMAZENADO,20/08/2019
FTD317L5,ARMAZENADO,01/11/2021
BDB577L6,ARMAZENADO,01/02/2022
SAA210L5,ARMAZENADO,19/04/2022
FTD211L5,ARMAZENADO,
BDB815L6,ARMAZENADO,26/04/2022
FCD567L5,ARMAZENADO,23/11/2021
FCE954L5,EM CLIENTE,19/01/2021
BDB781L6,ARMAZENADO,17/05/2022
CIO229L6,ARMAZENADO,22/10/2019
BDB895L6,ARMAZENADO,30/11/2021
CIO223L6,ARMAZENADO,
DOL876L5,ARMAZENADO,17/09/2019
FCD009L5,ARMAZENADO,25/05/2021
UHU041L5,ARMAZENADO,
FTG680L5,ARMAZENADO,16/04/2019
BDB794L6,ARMAZENADO,01/02/2022
FTC813L5,EM CLIENTE,14/01/2020
BDB452L6,EM CLIENTE,10/06/2022
BDB823L6,ARMAZENADO,20/07/2021
CZY928L5,ARMAZENADO,16/08/2022
SAP049L8,EM CLIENTE,19/07/2022
FTG675L5,ARMAZENADO,13/09/2022
FCD031L5,ARMAZENADO,14/06/2022
DIH663L5,EM CLIENTE,31/08/2020
FTG666L5,EM CLIENTE,15/02/2022
VV0035L5,EM CLIENTE,06/07/2021
FCD234L5,ARMAZENADO,10/06/2022
SPN057L5,ARMAZENADO,26/03/2019
BUR958L6,ARMAZENADO,16/08/2022
BDB863L6,ARMAZENADO,28/09/2021
DIH235L5,ARMAZENADO,18/10/2022
CHC237L6,ARMAZENADO,
SPN074L5,ARMAZENADO,26/03/2019
BRGVV024L4,ARMAZENADO,
FTH144L5,ARMAZENADO,01/02/2022
FCF034L5,ARMAZENADO,17/05/2022
BLK153L5,ARMAZENADO,12/11/2019
DII383L5,ARMAZENADO,
FTC776L5,EM CLIENTE,08/03/2022
CZX766L5,EM CLIENTE,14/01/2020
FTH539L5,ARMAZENADO,24/12/2019
BDB916L6,ARMAZENADO,12/04/2022
DIH282L5,ARMAZENADO,17/09/2019
FCD242L5,EM CLIENTE,10/06/2022
FFC219L5,EM CLIENTE,22/03/2022
DIH984L5,EM CLIENTE,22/03/2022
FTH516L5,ARMAZENADO,23/07/2019
BDB455L6,EM CLIENTE,10/06/2022
FTF013L5,ARMAZENADO,03/05/2022
DII035L5,ARMAZENADO,21/04/2021
CBG052L6,EM CLIENTE,14/01/2020
DIH023L5,EM CLIENTE,01/06/2021
FIC051L5,ARMAZENADO,07/12/2021
DIH260L5,ARMAZENADO,17/12/2019
BDB484L6,ARMAZENADO,01/02/2022
FCF010L5,ARMAZENADO,04/01/2022
GAC393L5,EM CLIENTE,13/09/2022
BDB608L6,ARMAZENADO,22/03/2022
FTH069L5,ARMAZENADO,20/07/2021
CIO208L6,ARMAZENADO,22/10/2019
SAP040L8,EM CLIENTE,19/07/2022
FTH082L5,ARMAZENADO,01/02/2022
BDB483L6,ARMAZENADO,01/02/2022
SJP038L7,ARMAZENADO,
DIH134L5,ARMAZENADO,23/07/2019
FTH267L5,ARMAZENADO,20/07/2021
BBM744L5,ARMAZENADO,30/11/2021
VV0200L5,ARMAZENADO,28/12/2021
GFK844L5,EM CLIENTE,05/05/2020
FTD275L5,ARMAZENADO,16/04/2019
FIC001L5,ARMAZENADO,25/05/2021
FCE939L5,EM CLIENTE,25/08/2020
FCD788L5,EM CLIENTE,18/06/2019
DIH187L5,EM CLIENTE,12/11/2019
CZY957L5,ARMAZENADO,13/10/2022
VV0055L5,ARMAZENADO,16/04/2019
FTH068L5,ARMAZENADO,20/07/2021
FTC666L5,ARMAZENADO,12/04/2022
FTC975L5,EM CLIENTE,10/06/2022
GFK837L5,ARMAZENADO,31/05/2022
FCD613L5,ARMAZENADO,22/03/2022
GOI027L7,EM CLIENTE,06/12/2022
FCE919L5,EM CLIENTE,25/08/2020
DIH091L5,EM CLIENTE,18/03/2021
FTD388L5,ARMAZENADO,24/05/2022
DIH978L5,ARMAZENADO,17/05/2022
FCF063L5,ARMAZENADO,20/07/2021
FTG742L5,ARMAZENADO,
PLI649L4,ARMAZENADO,
BDB761L6,ARMAZENADO,19/04/2022
DIH695L5,EM CLIENTE,17/12/2019
DII020L5,ARMAZENADO,01/11/2021
CHC196L6,ARMAZENADO,12/11/2019
DII032L5,ARMAZENADO,21/04/2021
FTG616L5,ARMAZENADO,15/09/2020
FTG615L5,ARMAZENADO,14/12/2021
CBG060L6,ARMAZENADO,
BDB792L6,EM CLIENTE,10/06/2022
CGB416L6,EM CLIENTE,13/12/2022
FCE944L5,ARMAZENADO,
FFC230L5,EM CLIENTE,22/03/2022
BBM771L5,ARMAZENADO,17/11/2020
FTH314L5,ARMAZENADO,06/12/2022
CRZ037L5,ARMAZENADO,
FFC034L5,ARMAZENADO,01/02/2022
CZY698L5,ARMAZENADO,21/05/2019
BDB733L6,ARMAZENADO,05/04/2022
FCD037L5,ARMAZENADO,14/06/2022
DIH061L5,EM CLIENTE,19/07/2022
BDB896L6,ARMAZENADO,04/01/2022
FTD327L5,ARMAZENADO,01/11/2021
BDB493L6,ARMAZENADO,22/03/2022
GFK828L5,ARMAZENADO,31/05/2022
DIH141L5,EM CLIENTE,18/10/2022
FTE852L5,ARMAZENADO,
FCD659L5,ARMAZENADO,03/05/2022
FCD661L5,ARMAZENADO,20/08/2019
BDB769L6,ARMAZENADO,19/04/2022
FIC017L5,ARMAZENADO,01/03/2022
FCD237L5,ARMAZENADO,14/12/2021
FCC962L5,ARMAZENADO,03/05/2022
DIH056L5,EM CLIENTE,18/03/2021
DIH095L5,ARMAZENADO,25/05/2021
CZX811L5,EM CLIENTE,25/01/2022
VV0064L5,EM CLIENTE,16/04/2019
FCD782L5,ARMAZENADO,16/04/2019
FTC641L5,ARMAZENADO,22/03/2022
FCC974L5,ARMAZENADO,03/05/2022
FTG924L5,ARMAZENADO,26/04/2022
FTD409L5,EM CLIENTE,10/06/2022
BBM721L5,ARMAZENADO,30/11/2021
FTG583L5,ARMAZENADO,19/05/2020
SAA011L5,EM CLIENTE,04/09/2019
FCD183L5,EM CLIENTE,10/06/2022
FTD036L5,ARMAZENADO,26/04/2022
SP0012L5,ARMAZENADO,20/08/2019
FTH505L5,ARMAZENADO,
VV0187L5,ARMAZENADO,
FTC596L5,ARMAZENADO,01/03/2022
FTC678L5,ARMAZENADO,24/05/2022
SPN073L5,ARMAZENADO,26/03/2019
DII055L5,ARMAZENADO,03/05/2022
CZX786L5,ARMAZENADO,
FTH135L5,ARMAZENADO,01/11/2021
BDB871L6,ARMAZENADO,01/11/2021
